agents,solveIndModel,solveNN,solveDynamic,solveStaticOverlap,solveStaticNonOverlap,solveStaticNoPool,solveGreedyDynamic,maxUtil
"[(0, 0.25, 0.25), (1, 0.25, 0.25), (2, 0.75, 0.25), (3, 0.25, 0.75), (4, 0.25, 0.75)]",0.298828125,0.0,0.5625,0.5625,0.5625,0.5625,0.5625,0.6875
"[(0, 0.25, 0.25), (1, 0.25, 0.25), (2, 0.75, 0.25), (3, 0.25, 0.75), (4, 0.5, 0.75)]",0.345703125,0.0,0.75,0.75,0.75,0.75,0.75,0.875
"[(0, 0.25, 0.25), (1, 0.25, 0.25), (2, 0.75, 0.25), (3, 0.25, 0.75), (4, 0.75, 0.75)]",0.416015625,0.609375,0.9375,0.9375,0.9375,0.9375,0.9375,1.0625
"[(0, 0.25, 0.25), (1, 0.25, 0.25), (2, 0.75, 0.25), (3, 0.5, 0.75), (4, 0.5, 0.75)]",0.4130859375,0.75,0.9375,0.9375,0.9375,0.9375,0.9375,1.0625
"[(0, 0.25, 0.25), (1, 0.25, 0.25), (2, 0.75, 0.25), (3, 0.5, 0.75), (4, 0.75, 0.75)]",0.4599609375,0.9375,1.125,1.125,1.125,1.125,1.125,1.25
"[(0, 0.25, 0.25), (1, 0.25, 0.25), (2, 0.75, 0.25), (3, 0.75, 0.75), (4, 0.75, 0.75)]",0.50390625,1.125,1.3125,1.3125,1.3125,1.3125,1.3125,1.4375
"[(0, 0.25, 0.25), (1, 0.25, 0.25), (2, 0.25, 0.5), (3, 0.25, 0.5), (4, 0.25, 0.5)]",0.234375,0.0,0.375,0.375,0.375,0.375,0.375,0.5
"[(0, 0.25, 0.25), (1, 0.25, 0.25), (2, 0.25, 0.5), (3, 0.25, 0.5), (4, 0.5, 0.5)]",0.296875,0.0,0.5,0.5,0.5,0.5,0.5,0.625
"[(0, 0.25, 0.25), (1, 0.25, 0.25), (2, 0.25, 0.5), (3, 0.25, 0.5), (4, 0.75, 0.5)]",0.359375,0.0,0.625,0.625,0.625,0.625,0.625,0.75
"[(0, 0.25, 0.25), (1, 0.25, 0.25), (2, 0.25, 0.5), (3, 0.25, 0.5), (4, 0.25, 0.75)]",0.2734375,0.0,0.4375,0.4375,0.4375,0.4375,0.4375,0.5625
"[(0, 0.25, 0.25), (1, 0.25, 0.25), (2, 0.25, 0.5), (3, 0.25, 0.5), (4, 0.5, 0.75)]",0.3671875,0.0,0.625,0.625,0.625,0.625,0.625,0.75
"[(0, 0.25, 0.25), (1, 0.25, 0.25), (2, 0.25, 0.5), (3, 0.25, 0.5), (4, 0.75, 0.75)]",0.4609375,0.5625,0.8125,0.8125,0.8125,0.8125,0.8125,0.9375
"[(0, 0.25, 0.25), (1, 0.25, 0.25), (2, 0.25, 0.5), (3, 0.5, 0.5), (4, 0.5, 0.5)]",0.3203125,0.25,0.625,0.625,0.625,0.625,0.625,0.75
"[(0, 0.25, 0.25), (1, 0.25, 0.25), (2, 0.25, 0.5), (3, 0.5, 0.5), (4, 0.75, 0.5)]",0.3828125,0.375,0.75,0.75,0.75,0.75,0.75,0.875
"[(0, 0.25, 0.25), (1, 0.25, 0.25), (2, 0.25, 0.5), (3, 0.5, 0.5), (4, 0.25, 0.75)]",0.30078125,0.0,0.5625,0.5625,0.5625,0.5625,0.5625,0.6875
"[(0, 0.25, 0.25), (1, 0.25, 0.25), (2, 0.25, 0.5), (3, 0.5, 0.5), (4, 0.5, 0.75)]",0.39453125,0.0,0.75,0.75,0.75,0.75,0.75,0.875
"[(0, 0.25, 0.25), (1, 0.25, 0.25), (2, 0.25, 0.5), (3, 0.5, 0.5), (4, 0.75, 0.75)]",0.48828125,0.5625,0.9375,0.9375,0.9375,0.9375,0.9375,1.0625
"[(0, 0.25, 0.25), (1, 0.25, 0.25), (2, 0.25, 0.5), (3, 0.75, 0.5), (4, 0.75, 0.5)]",0.40625,0.375,0.875,0.875,0.875,0.875,0.875,1.0
"[(0, 0.25, 0.25), (1, 0.25, 0.25), (2, 0.25, 0.5), (3, 0.75, 0.5), (4, 0.25, 0.75)]",0.328125,0.0,0.6875,0.6875,0.6875,0.6875,0.6875,0.8125
"[(0, 0.25, 0.25), (1, 0.25, 0.25), (2, 0.25, 0.5), (3, 0.75, 0.5), (4, 0.5, 0.75)]",0.421875,0.0,0.875,0.875,0.875,0.875,0.875,1.0
"[(0, 0.25, 0.25), (1, 0.25, 0.25), (2, 0.25, 0.5), (3, 0.75, 0.5), (4, 0.75, 0.75)]",0.515625,0.65625,1.0625,1.0625,1.0625,1.0625,1.0625,1.1875
"[(0, 0.25, 0.25), (1, 0.25, 0.25), (2, 0.25, 0.5), (3, 0.25, 0.75), (4, 0.25, 0.75)]",0.30078125,0.234375,0.50390625,0.5,0.5,0.5,0.50390625,0.625
