agents,solveIndModel,solveDynamic,solveStaticOverlap,solveStaticNonOverlap,solveStaticNoPool,solveGreedyDynamic,maxUtil,solveNN
"[(0, 0.25, 0.5), (1, 0.75, 0.5), (2, 0.75, 0.75)]",0.796875,0.9375,0.9375,0.9375,0.9375,0.9375,1.0625,0.9375
"[(0, 0.25, 0.5), (1, 0.25, 0.75), (2, 0.25, 0.75)]",0.3984375,0.40625,0.40625,0.40625,0.375,0.40625,0.5,0.3515625
"[(0, 0.25, 0.5), (1, 0.25, 0.75), (2, 0.5, 0.75)]",0.5625,0.5859375,0.5625,0.5625,0.5625,0.5859375,0.6875,0.5859375
"[(0, 0.25, 0.5), (1, 0.25, 0.75), (2, 0.75, 0.75)]",0.5,0.7734375,0.75,0.75,0.75,0.7734375,0.875,0.7734375
"[(0, 0.25, 0.5), (1, 0.5, 0.75), (2, 0.5, 0.75)]",0.703125,0.75,0.75,0.75,0.75,0.75,0.875,0.7265625
"[(0, 0.25, 0.5), (1, 0.5, 0.75), (2, 0.75, 0.75)]",0.8671875,0.9375,0.9375,0.9375,0.9375,0.9375,1.0625,0.9140625
"[(0, 0.25, 0.5), (1, 0.75, 0.75), (2, 0.75, 0.75)]",0.828125,1.125,1.125,1.125,1.125,1.125,1.25,1.125
"[(0, 0.5, 0.5), (1, 0.5, 0.5), (2, 0.5, 0.5)]",0.5,0.5,0.5,0.5,0.5,0.5,0.75,0.25
"[(0, 0.5, 0.5), (1, 0.5, 0.5), (2, 0.75, 0.5)]",0.53125,0.625,0.625,0.625,0.625,0.625,0.875,0.375
"[(0, 0.5, 0.5), (1, 0.5, 0.5), (2, 0.25, 0.75)]",0.515625,0.53125,0.53125,0.53125,0.5,0.53125,0.6875,0.25
"[(0, 0.5, 0.5), (1, 0.5, 0.5), (2, 0.5, 0.75)]",0.5625,0.65625,0.65625,0.625,0.625,0.65625,0.875,0.375
"[(0, 0.5, 0.5), (1, 0.5, 0.5), (2, 0.75, 0.75)]",0.609375,0.84375,0.8125,0.8125,0.8125,0.84375,1.0625,0.5625
"[(0, 0.5, 0.5), (1, 0.75, 0.5), (2, 0.75, 0.5)]",0.625,0.75,0.75,0.75,0.75,0.75,1.0,0.75
"[(0, 0.5, 0.5), (1, 0.75, 0.5), (2, 0.25, 0.75)]",0.4375,0.65625,0.65625,0.65625,0.625,0.65625,0.8125,0.375
"[(0, 0.5, 0.5), (1, 0.75, 0.5), (2, 0.5, 0.75)]",0.671875,0.75,0.75,0.75,0.75,0.75,1.0,0.75
"[(0, 0.5, 0.5), (1, 0.75, 0.5), (2, 0.75, 0.75)]",0.71875,0.9375,0.9375,0.9375,0.9375,0.9375,1.1875,0.84375
"[(0, 0.5, 0.5), (1, 0.25, 0.75), (2, 0.25, 0.75)]",0.484375,0.53125,0.53125,0.53125,0.4375,0.53125,0.625,0.390625
"[(0, 0.5, 0.5), (1, 0.25, 0.75), (2, 0.5, 0.75)]",0.5546875,0.671875,0.671875,0.671875,0.625,0.671875,0.8125,0.5625
"[(0, 0.5, 0.5), (1, 0.25, 0.75), (2, 0.75, 0.75)]",0.625,0.84375,0.84375,0.84375,0.8125,0.84375,1.0,0.75
"[(0, 0.5, 0.5), (1, 0.5, 0.75), (2, 0.5, 0.75)]",0.71875,0.8125,0.8125,0.8125,0.75,0.8125,1.0,0.703125
"[(0, 0.5, 0.5), (1, 0.5, 0.75), (2, 0.75, 0.75)]",0.7890625,0.984375,0.9609375,0.953125,0.9375,0.984375,1.1875,0.984375
"[(0, 0.5, 0.5), (1, 0.75, 0.75), (2, 0.75, 0.75)]",0.953125,1.125,1.125,1.125,1.125,1.125,1.375,1.125
"[(0, 0.75, 0.5), (1, 0.75, 0.5), (2, 0.75, 0.5)]",0.75,0.75,0.75,0.75,0.75,0.75,1.125,0.375
"[(0, 0.75, 0.5), (1, 0.75, 0.5), (2, 0.25, 0.75)]",0.5625,0.75,0.75,0.75,0.75,0.75,0.9375,0.75
